deicer,treatment_level,concentration,units,replicate,seed_no,length_mm,initials,notes
DI-water,,,,1,7,63,BT,
DI-water,,,,1,8,65,BT,
DI-water,,,,1,9,69,BT,
DI-water,,,,1,10,74,BT,
DI-water,,,,1,11,60,BT,
DI-water,,,,1,12,49,BT,
DI-water,,,,1,13,49,BT,
DI-water,,,,1,14,66,BT,
DI-water,,,,1,15,46,BT,
DI-water,,,,1,16,33,BT,
DI-water,,,,1,17,59,BT,
DI-water,,,,1,18,73,BT,
DI-water,,,,1,19,52,BT,
DI-water,,,,1,20,34,BT,
DI-water,,,,2,1,28,AF,
DI-water,,,,2,2,55,AF,
DI-water,,,,2,3,67,AF,
DI-water,,,,2,4,48,AF,
DI-water,,,,2,5,53,AF,
DI-water,,,,2,6,55,AF,
DI-water,,,,2,7,23,AF,
DI-water,,,,2,8,40,AF,
DI-water,,,,2,9,51,AF,
DI-water,,,,2,10,35,AF,
DI-water,,,,2,11,32,AF,
DI-water,,,,2,12,17,AF,
DI-water,,,,2,13,47,AF,
DI-water,,,,2,14,36,AF,
DI-water,,,,2,15,24,AF,
DI-water,,,,2,16,52,AF,
DI-water,,,,2,17,44,AF,
DI-water,,,,2,18,66,AF,
DI-water,,,,2,19,26,AF,
DI-water,,,,2,20,38,AF,
DI-water,,,,3,1,50,MP,
DI-water,,,,3,2,40,MP,
DI-water,,,,3,3,20,MP,considerably smaller than the rest 
DI-water,,,,3,4,55,MP,
DI-water,,,,3,5,72,MP,
DI-water,,,,3,6,50,MP,
DI-water,,,,3,7,20,MP,considerably smaller than the rest 
DI-water,,,,3,8,49,MP,
DI-water,,,,3,9,42,MP,
DI-water,,,,3,10,35,MP,
DI-water,,,,3,11,45,MP,
DI-water,,,,3,12,40,MP,
DI-water,,,,3,13,62,MP,
DI-water,,,,3,14,38,MP,
DI-water,,,,3,15,37,MP,
DI-water,,,,3,16,21,MP,
DI-water,,,,3,17,51,MP,
DI-water,,,,3,18,27,MP,
DI-water,,,,3,19,26,MP,
DI-water,,,,3,20,25,MP,
MgCl,high,10,g/L,1,1,11,AB,"very curly, short, more of the leaves have popped out of the seed's shell compared to the low MgCl, but still not all, some of the ends are starting to look hairy/fuzzy, either the start of a root ball or mold, white"
MgCl,high,10,g/L,1,2,20,AB,
MgCl,high,10,g/L,1,3,20,AB,
MgCl,high,10,g/L,1,4,25,AB,
MgCl,high,10,g/L,1,5,20,AB,
MgCl,high,10,g/L,1,6,20,AB,
MgCl,high,10,g/L,1,7,24,AB,
MgCl,high,10,g/L,1,8,7,AB,
MgCl,high,10,g/L,1,9,21,AB,
MgCl,high,10,g/L,1,10,15,AB,
MgCl,high,10,g/L,1,11,11,AB,
MgCl,high,10,g/L,1,12,16,AB,
MgCl,high,10,g/L,1,13,18,AB,
MgCl,high,10,g/L,1,14,19,AB,
MgCl,high,10,g/L,1,15,14,AB,
MgCl,high,10,g/L,1,16,10,AB,
MgCl,high,10,g/L,1,17,13,AB,
MgCl,high,10,g/L,1,18,9,AB,
MgCl,high,10,g/L,1,19,10,AB,
MgCl,high,10,g/L,1,20,10,AB,
MgCl,high,10,g/L,2,1,17,KB,"Seeds are longer and less curly, ends are fuzzy"
MgCl,high,10,g/L,2,2,11,KB,
MgCl,high,10,g/L,2,3,15,KB,
MgCl,high,10,g/L,2,4,11,KB,
MgCl,high,10,g/L,2,5,10,KB,
MgCl,high,10,g/L,2,6,9,KB,
MgCl,high,10,g/L,2,7,11,KB,
MgCl,high,10,g/L,2,8,13,KB,
MgCl,high,10,g/L,2,9,18,KB,
MgCl,high,10,g/L,2,10,2,KB,
MgCl,high,10,g/L,2,11,15,KB,
MgCl,high,10,g/L,2,12,18,KB,
MgCl,high,10,g/L,2,13,12,KB,
MgCl,high,10,g/L,2,14,20,KB,
MgCl,high,10,g/L,2,15,9,KB,
MgCl,high,10,g/L,2,16,11,KB,
MgCl,high,10,g/L,2,17,16,KB,
MgCl,high,10,g/L,2,18,7,KB,
MgCl,high,10,g/L,2,19,9,KB,
MgCl,high,10,g/L,2,20,5,KB,
MgCl,high,10,g/L,3,1,15,GS,
MgCl,high,10,g/L,3,2,17,GS,
MgCl,high,10,g/L,3,3,21,GS,
MgCl,high,10,g/L,3,4,12,GS,
MgCl,high,10,g/L,3,5,13,GS,
MgCl,high,10,g/L,3,6,21,GS,
MgCl,high,10,g/L,3,7,10,GS,
MgCl,high,10,g/L,3,8,16,GS,
MgCl,high,10,g/L,3,9,10,GS,
MgCl,high,10,g/L,3,10,5,GS,
MgCl,high,10,g/L,3,11,7,GS,
MgCl,high,10,g/L,3,12,15,GS,
MgCl,high,10,g/L,3,13,12,GS,
MgCl,high,10,g/L,3,14,17,GS,
MgCl,high,10,g/L,3,15,20,GS,
MgCl,high,10,g/L,3,16,16,GS,
MgCl,high,10,g/L,3,17,6,GS,
MgCl,high,10,g/L,3,18,10,GS,
MgCl,low,1,g/L,1,1,20,AB,"very curly, short, most of the leaves haven't popped out of the seed's shell yet, some of the ends are starting to look hairy/fuzzy, either the start of a root ball or mold, white"
MgCl,low,1,g/L,1,2,20,AB,
MgCl,low,1,g/L,1,3,20,AB,
MgCl,low,1,g/L,1,4,15,AB,
MgCl,low,1,g/L,1,5,20,AB,
MgCl,low,1,g/L,1,6,20,AB,
MgCl,low,1,g/L,1,7,15,AB,
MgCl,low,1,g/L,1,8,25,AB,
MgCl,low,1,g/L,1,9,15,AB,
MgCl,low,1,g/L,1,10,13,AB,
MgCl,low,1,g/L,1,11,14,AB,
MgCl,low,1,g/L,1,12,10,AB,
MgCl,low,1,g/L,1,13,11,AB,
MgCl,low,1,g/L,1,14,10,AB,
MgCl,low,1,g/L,1,15,10,AB,
MgCl,low,1,g/L,1,16,9,AB,
MgCl,low,1,g/L,1,17,10,AB,
MgCl,low,1,g/L,1,18,15,AB,
MgCl,low,1,g/L,1,19,12,AB,
MgCl,low,1,g/L,2,1,11,KB,"Very curly and short, most have not come out of the seed, ends are fuzzy"
MgCl,low,1,g/L,2,2,11,KB,
MgCl,low,1,g/L,2,3,15,KB,
MgCl,low,1,g/L,2,4,16,KB,
MgCl,low,1,g/L,2,5,13,KB,
MgCl,low,1,g/L,2,6,23,KB,
MgCl,low,1,g/L,2,7,11,KB,
MgCl,low,1,g/L,2,8,11,KB,
MgCl,low,1,g/L,2,9,19,KB,
MgCl,low,1,g/L,2,10,21,KB,
MgCl,low,1,g/L,2,11,16,KB,
MgCl,low,1,g/L,2,12,7,KB,
MgCl,low,1,g/L,2,13,6,KB,
MgCl,low,1,g/L,2,14,15,KB,
MgCl,low,1,g/L,2,15,6,KB,
MgCl,low,1,g/L,2,16,9,KB,
MgCl,low,1,g/L,2,17,3,KB,
MgCl,low,1,g/L,2,18,11,KB,
MgCl,low,1,g/L,2,19,17,KB,
MgCl,low,1,g/L,2,20,6,KB,
MgCl,low,1,g/L,3,1,13,MP,
MgCl,low,1,g/L,3,2,16,MP,
MgCl,low,1,g/L,3,3,10,MP,
MgCl,low,1,g/L,3,4,10,MP,
MgCl,low,1,g/L,3,5,7,MP,
MgCl,low,1,g/L,3,6,15,MP,
MgCl,low,1,g/L,3,7,10,MP,
MgCl,low,1,g/L,3,8,16,MP,
MgCl,low,1,g/L,3,9,15,MP,
MgCl,low,1,g/L,3,10,10,MP,
MgCl,low,1,g/L,3,11,12,MP,
MgCl,low,1,g/L,3,12,13,MP,
MgCl,low,1,g/L,3,13,9,MP,
MgCl,low,1,g/L,3,14,17,MP,
MgCl,low,1,g/L,3,15,4,MP,
MgCl,low,1,g/L,3,16,8,MP,
MgCl,low,1,g/L,3,17,16,MP,
MgCl,low,1,g/L,3,18,35,MP,
MgCl,low,1,g/L,3,19,6,MP,
MgCl,low,1,g/L,3,20,6,MP,
NaCl,high,10,g/L,1,2,14,CB,the leave are yellow and not a bright green 
NaCl,high,10,g/L,1,3,6,CB,
NaCl,high,10,g/L,1,4,19,CB,
NaCl,high,10,g/L,1,5,18,CB,
NaCl,high,10,g/L,1,6,28,CB,
NaCl,high,10,g/L,1,7,10,CB,
NaCl,high,10,g/L,1,8,5,CB,
NaCl,high,10,g/L,1,9,9,CB,
NaCl,high,10,g/L,1,10,10,CB,
NaCl,high,10,g/L,1,11,19,CB,
NaCl,high,10,g/L,1,12,23,CB,
NaCl,high,10,g/L,1,13,24,CB,
NaCl,high,10,g/L,1,14,11,CB,
NaCl,high,10,g/L,1,15,26,CB,
NaCl,high,10,g/L,1,16,7,CB,
NaCl,high,10,g/L,1,17,12,CB,
NaCl,high,10,g/L,1,18,19,CB,
NaCl,high,10,g/L,1,19,10,CB,
NaCl,high,10,g/L,1,20,19,CB,
NaCl,high,10,g/L,2,1,26,CB,leaves are yellow and not bright green 
NaCl,high,10,g/L,2,2,21,CB,
NaCl,high,10,g/L,2,3,24,CB,
NaCl,high,10,g/L,2,4,11,CB,
NaCl,high,10,g/L,2,5,13,CB,
NaCl,high,10,g/L,2,6,13,CB,
NaCl,high,10,g/L,2,7,6,CB,
NaCl,high,10,g/L,2,8,11,CB,
NaCl,high,10,g/L,2,9,12,CB,
NaCl,high,10,g/L,2,10,13,CB,
NaCl,high,10,g/L,2,11,10,CB,
NaCl,high,10,g/L,2,12,43,CB,
NaCl,high,10,g/L,2,13,24,CB,
NaCl,high,10,g/L,2,14,11,CB,
NaCl,high,10,g/L,2,15,23,CB,
NaCl,high,10,g/L,2,16,12,CB,
NaCl,high,10,g/L,2,17,25,CB,
NaCl,high,10,g/L,2,18,21,CB,
NaCl,high,10,g/L,2,19,18,CB,
NaCl,high,10,g/L,2,20,15,CB,
NaCl,high,10,g/L,3,1,8,AZ,
NaCl,high,10,g/L,3,2,21,AZ,
NaCl,high,10,g/L,3,3,18,AZ,
NaCl,high,10,g/L,3,4,8,AZ,
NaCl,high,10,g/L,3,5,28,AZ,
NaCl,high,10,g/L,3,6,3,AZ,
NaCl,high,10,g/L,3,7,15,AZ,
NaCl,high,10,g/L,3,8,18,AZ,
NaCl,high,10,g/L,3,9,30,AZ,
NaCl,high,10,g/L,3,10,22,AZ,
NaCl,high,10,g/L,3,11,11,AZ,
NaCl,high,10,g/L,3,12,3,AZ,
NaCl,high,10,g/L,3,13,2,AZ,
NaCl,high,10,g/L,3,14,4,AZ,
NaCl,high,10,g/L,3,15,8,AZ,
NaCl,high,10,g/L,3,16,9,AZ,
NaCl,high,10,g/L,3,17,7,AZ,
NaCl,high,10,g/L,3,18,24,AZ,
NaCl,high,10,g/L,3,19,6,AZ,
NaCl,high,10,g/L,3,20,11,AZ,
Tap-water,,,,1,1,43,BT,
Tap-water,,,,1,2,60,BT,
Tap-water,,,,1,3,55,BT,
Tap-water,,,,1,4,33,BT,
Tap-water,,,,1,5,52,BT,
Tap-water,,,,1,6,68,BT,
Tap-water,,,,1,7,51,BT,
Tap-water,,,,1,8,76,BT,
Tap-water,,,,1,9,46,BT,
Tap-water,,,,1,10,56,BT,
Tap-water,,,,1,11,57,BT,
Tap-water,,,,1,12,67,BT,
Tap-water,,,,1,13,42,BT,
Tap-water,,,,1,14,35,BT,
Tap-water,,,,1,15,34,BT,
Tap-water,,,,1,16,49,BT,
Tap-water,,,,1,17,43,BT,
Tap-water,,,,1,18,33,BT,
Tap-water,,,,1,19,19,BT,
Tap-water,,,,1,20,16,BT,
Tap-water,,,,2,1,71,GS,
Tap-water,,,,2,2,30,GS,"Seed casing still attached, curly hairy root"
Tap-water,,,,2,3,51,GS,
Tap-water,,,,2,4,36,GS,
Tap-water,,,,2,5,66,GS,
Tap-water,,,,2,6,50,GS,
Tap-water,,,,2,7,31,GS,
Tap-water,,,,2,8,51,GS,
Tap-water,,,,2,9,26,GS,
Tap-water,,,,2,10,55,GS,
Tap-water,,,,2,11,45,GS,
Tap-water,,,,2,12,45,GS,
Tap-water,,,,2,13,65,GS,
Tap-water,,,,2,14,81,GS,
Tap-water,,,,2,15,60,GS,
Tap-water,,,,2,16,50,GS,
Tap-water,,,,2,17,23,GS,
Tap-water,,,,2,18,30,GS,Tangled with 19 and look like they're sharing a root
Tap-water,,,,2,19,15,GS,
Tap-water,,,,2,20,28,GS,
Tap-water,,,,3,1,70,AN,
Tap-water,,,,3,2,50,AN,
Tap-water,,,,3,3,70,AN,
Tap-water,,,,3,4,40,AN,
Tap-water,,,,3,5,70,AN,
Tap-water,,,,3,6,20,AN,
Tap-water,,,,3,7,50,AN,
Tap-water,,,,3,8,10,AN,
Tap-water,,,,3,9,30,AN,
Tap-water,,,,3,10,40,AN,
Tap-water,,,,3,11,70,AN,
Tap-water,,,,3,12,50,AN,
Tap-water,,,,3,13,10,AN,
Tap-water,,,,3,14,20,AN,
Tap-water,,,,3,15,10,AN,
Tap-water,,,,3,16,20,AN,
Tap-water,,,,3,17,30,AN,
Tap-water,,,,3,18,30,AN,
Tap-water,,,,3,19,10,AN,
urea,high,10,g/L,1,1,43,MD,
urea,high,10,g/L,1,2,41,MD,
urea,high,10,g/L,1,3,39,MD,
urea,high,10,g/L,1,4,64,MD,
urea,high,10,g/L,1,5,47,MD,
urea,high,10,g/L,1,6,61,MD,
urea,high,10,g/L,1,7,50,MD,
urea,high,10,g/L,1,8,58,MD,
urea,high,10,g/L,1,9,15,MD,
urea,high,10,g/L,1,10,60,MD,
urea,high,10,g/L,1,11,54,MD,
urea,high,10,g/L,1,12,46,MD,
urea,high,10,g/L,1,13,61,MD,
urea,high,10,g/L,1,14,47,MD,
urea,high,10,g/L,1,15,7,MD,
urea,high,10,g/L,1,16,15,MD,
urea,high,10,g/L,1,17,25,MD,
urea,high,10,g/L,1,18,24,MD,
urea,high,10,g/L,1,19,56,MD,
urea,high,10,g/L,1,20,45,MD,
urea,high,10,g/L,2,1,24,AH,
urea,high,10,g/L,2,2,37,AH,
urea,high,10,g/L,2,3,24,AH,
urea,high,10,g/L,2,4,16,AH,
urea,high,10,g/L,2,5,25,AH,
urea,high,10,g/L,2,6,20,AH,
urea,high,10,g/L,2,7,30,AH,
urea,high,10,g/L,2,8,22,AH,
urea,high,10,g/L,2,9,22,AH,
urea,high,10,g/L,2,10,21,AH,
urea,high,10,g/L,2,11,21,AH,
urea,high,10,g/L,2,12,15,AH,
urea,high,10,g/L,2,13,37,AH,
urea,high,10,g/L,2,14,18,AH,
urea,high,10,g/L,2,15,28,AH,
urea,high,10,g/L,2,16,46,AH,
urea,high,10,g/L,2,17,22,AH,
urea,high,10,g/L,2,18,9,AH,
urea,high,10,g/L,2,19,10,AH,
urea,high,10,g/L,2,20,15,AH,
urea,high,10,g/L,3,1,30,AN,
urea,high,10,g/L,3,2,50,AN,
urea,high,10,g/L,3,3,30,AN,
urea,high,10,g/L,3,4,50,AN,
urea,high,10,g/L,3,5,40,AN,
urea,high,10,g/L,3,6,20,AN,
urea,high,10,g/L,3,7,30,AN,
urea,high,10,g/L,3,8,30,AN,
urea,high,10,g/L,3,9,30,AN,
urea,high,10,g/L,3,10,40,AN,
urea,high,10,g/L,3,11,40,AN,
urea,high,10,g/L,3,12,40,AN,
urea,high,10,g/L,3,13,40,AN,
urea,high,10,g/L,3,14,60,AN,
urea,high,10,g/L,3,15,30,AN,
urea,high,10,g/L,3,16,20,AN,
urea,high,10,g/L,3,17,10,AN,
urea,high,10,g/L,3,18,30,AN,
urea,high,10,g/L,3,19,30,AN,
urea,high,10,g/L,3,20,20,AN,
urea,low,1,g/L,1,1,20,MP,
urea,low,1,g/L,1,2,70,MP,
urea,low,1,g/L,1,3,45,MP,
urea,low,1,g/L,1,4,55,MP,
urea,low,1,g/L,1,5,50,MP,
urea,low,1,g/L,1,6,50,MP,
urea,low,1,g/L,1,7,21,MP,
urea,low,1,g/L,1,8,42,MP,
urea,low,1,g/L,1,9,39,MP,
urea,low,1,g/L,1,10,22,MP,
urea,low,1,g/L,1,11,7,MP,
urea,low,1,g/L,1,12,18,MP,
urea,low,1,g/L,1,13,40,MP,
urea,low,1,g/L,1,14,45,MP,
urea,low,1,g/L,1,15,43,MP,
urea,low,1,g/L,1,16,49,MP,
urea,low,1,g/L,1,17,55,MP,
urea,low,1,g/L,1,18,58,MP,
urea,low,1,g/L,1,19,47,MP,
urea,low,1,g/L,1,20,38,MP,
urea,low,1,g/L,2,1,42,MP,
urea,low,1,g/L,2,2,32,MP,
urea,low,1,g/L,2,3,41,MP,
urea,low,1,g/L,2,4,60,MP,
urea,low,1,g/L,2,5,39,MP,
urea,low,1,g/L,2,6,65,MP,
urea,low,1,g/L,2,7,75,MP,
urea,low,1,g/L,2,8,52,MP,
urea,low,1,g/L,2,9,50,MP,
urea,low,1,g/L,2,10,40,MP,
urea,low,1,g/L,2,11,21,MP,
urea,low,1,g/L,2,12,32,MP,
urea,low,1,g/L,2,13,42,MP,
urea,low,1,g/L,2,14,23,MP,
