deicer,treatment_level,concentration,units,replicate,seed_no,germination,set_up_date,check_date,check_time,initials,notes
control,,,,3,1,germinated,2025-03-04,2025-03-06,3:50 PM,JB,All seeds have germinated
control,,,,3,2,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,3,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,4,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,5,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,6,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,7,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,8,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,9,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,10,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,11,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,12,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,13,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,14,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,15,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,16,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,17,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,18,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,19,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
control,,,,3,20,germinated,2025-03-04,2025-03-06,3:50 PM,JB,
Fusion2330,high,10,ml/L,1,1,germinated,2025-03-04,2025-03-06,12:32 PM,EF,19 seeds have germinated
Fusion2330,high,10,ml/L,1,2,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,3,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,4,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,5,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,6,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,7,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,8,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,9,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,10,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,11,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,12,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,13,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,14,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,15,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,16,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,17,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,18,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,19,germinated,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,1,20,no_germination,2025-03-04,2025-03-06,12:32 PM,EF,
Fusion2330,high,10,ml/L,2,1,germinated,2025-03-04,2025-03-06,8:22 AM,NS,all seeds have germainted 
Fusion2330,high,10,ml/L,2,2,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,3,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,4,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,5,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,6,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,7,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,8,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,9,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,10,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,11,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,12,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,13,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,14,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,15,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,16,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,17,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,18,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,19,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,2,20,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,1,germinated,2025-03-04,2025-03-06,8:22 AM,NS,all seeds have germinated 
Fusion2330,high,10,ml/L,3,2,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,3,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,4,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,5,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,6,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,7,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,8,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,9,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,10,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,11,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,12,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,13,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,14,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,15,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,16,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,17,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,18,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,19,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,high,10,ml/L,3,20,germinated,2025-03-04,2025-03-06,8:22 AM,NS,
Fusion2330,low,2,ml/L,1,1,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,2,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,3,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,4,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,5,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,6,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,7,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,8,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,9,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,10,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,11,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,12,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,13,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,14,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,15,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,16,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,17,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,18,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,19,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,low,2,ml/L,1,20,germinated,2025-03-04,2025-03-06,11:21,KC,All seeds have germinated!
Fusion2330,medium,4.5,ml/L,1,1,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,2,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,3,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,4,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,5,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,6,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,7,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,8,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,9,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,10,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,11,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,12,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,13,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,14,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,15,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,16,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,17,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,18,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,19,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,1,20,germinated,2025-03-04,3/6/2025,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,1,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,2,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,3,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,4,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,5,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,6,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,7,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,8,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,9,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,10,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,11,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,12,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,13,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,14,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,15,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,16,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,17,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,18,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,19,germinated,2025-03-04,2025-03-06,5:18 PM,MK,
Fusion2330,medium,4.5,ml/L,2,20,no_germination,2025-03-04,3/6/2025,5:18 PM,MK,One seed did not germinate 
Fusion2330,medium,4.5,ml/L,3,1,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,2,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,3,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,4,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,5,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,6,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,7,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,8,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,9,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,10,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,11,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,12,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,13,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,14,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,15,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,16,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,17,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,18,germinated,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,19,no_germination,2025-03-04,2025-03-06,11:21,KC,
Fusion2330,medium,4.5,ml/L,3,20,no_germination,2025-03-04,2025-03-06,11:21,KC,All seeds but TWO have germinated!
Fusion2330,trace,0.2,ml/L,3,1,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,2,germinated,2025-03-05,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,3,germinated,2025-03-06,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,4,germinated,2025-03-07,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,5,germinated,2025-03-08,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,6,germinated,2025-03-09,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,7,germinated,2025-03-10,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,8,germinated,2025-03-11,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,9,germinated,2025-03-12,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,10,germinated,2025-03-13,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,11,germinated,2025-03-14,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,12,germinated,2025-03-15,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,13,germinated,2025-03-16,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,14,germinated,2025-03-17,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,15,germinated,2025-03-18,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,16,germinated,2025-03-19,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,17,germinated,2025-03-20,2025-03-06,12:04 PM,KV,
Fusion2330,trace,0.2,ml/L,3,18,germinated,2025-03-21,2025-03-06,12:04 PM,KV,Seed began to sprout
Fusion2330,trace,0.2,ml/L,3,19,germinated,2025-03-22,2025-03-06,12:04 PM,KV,Seed began to sprout
Fusion2330,trace,0.2,ml/L,3,20,germinated,2025-03-23,2025-03-06,12:04 PM,KV,Seed began to sprout
Fusion2330,trace,2,ml/L,1,1,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,2,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,3,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,4,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,5,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,6,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,7,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,8,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,9,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,10,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,11,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,12,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,13,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,14,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,15,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,16,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,17,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,18,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,19,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,1,20,germinated,2025-03-04,2025-03-06,8:14,CB,
Fusion2330,trace,2,ml/L,2,1,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,2,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,3,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,4,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,5,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,6,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,7,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,8,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,9,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,10,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,11,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,12,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,13,germinated,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,14,no_germination,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,15,no_germination,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,16,no_germination,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,17,no_germination,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,18,no_germination,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,19,no_germination,2025-03-04,2025-03-06,8:18 AM,CB,
Fusion2330,trace,2,ml/L,2,20,no_germination,2025-03-04,2025-03-06,8:18 AM,CB,
NaCl,high,10,g/L,1,1,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,2,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,3,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,4,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,5,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,6,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,7,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,8,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,9,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,10,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,11,germinated,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,12,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,13,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,14,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,15,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,16,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,17,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,18,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,19,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,1,20,no_germination,2025-03-04,2025-03-06,8:16,CB,
NaCl,high,10,g/L,2,1,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,2,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,3,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,4,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,5,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,6,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,7,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,8,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,9,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,10,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,11,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,12,germinated,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,13,no_germination,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,14,no_germination,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,15,no_germination,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,16,no_germination,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,17,no_germination,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,18,no_germination,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,19,no_germination,2025-03-04,2025-03-06,8:17,CB,
NaCl,high,10,g/L,2,20,no_germination,2025-03-04,2025-03-06,8:17,CB,
